,num,mb_sex,mb_birth,mb_4,mb_6,태그-직장,태그-결혼여부
0,11726,M,19000101,기타,,A04-00,A06-00
1,21745,M,19000122,근로자,미혼,A04-03,A06-01
2,13327,M,19050101,False,,A04-00,A06-00
3,23542,M,19190101,근로자,기혼,A04-03,A06-02
4,14442,M,19200128,대학(원)생,미혼,A04-01,A06-01
5,10640,M,19210101,기타,미혼,A04-00,A06-01
6,23936,F,19210303,기타,미혼,A04-00,A06-01
7,9083,M,19220413,구직자,미혼,A04-02,A06-01
8,12514,F,19400102,"대학(원)생,근로자",미혼,A04-01,A06-01
9,8558,M,19410811,기타,미혼,A04-00,A06-01
10,18512,F,19420515,근로자,기혼,A04-03,A06-02
11,23089,F,19451126,기업인/소상공인,기혼,A04-05,A06-02
12,4953,M,19471123,False,,A04-00,A06-00
13,28233,M,19480527,기타,기혼,A04-00,A06-02
14,18789,M,19481211,대학(원)생,기혼,A04-01,A06-02
15,7099,F,19490609,근로자,기혼,A04-03,A06-02
16,11280,F,19491215,기타,미혼,A04-00,A06-01
17,8173,M,19500103,"구직자,기업인/소상공인",기혼,A04-02,A06-02
18,24488,F,19500107,기타,기혼,A04-00,A06-02
19,26583,M,19501015,기업인/소상공인,기혼,A04-05,A06-02
20,24227,M,19510110,기타,기혼,A04-00,A06-02
21,9918,M,19520131,구직자,기혼,A04-02,A06-02
22,9930,M,19530730,근로자,기혼,A04-03,A06-02
23,16647,M,19531224,기업인/소상공인,기혼,A04-05,A06-02
24,22575,M,19540119,기업인/소상공인,기혼,A04-05,A06-02
25,25577,F,19540406,기타,기혼,A04-00,A06-02
26,13881,M,19540619,기타,미혼,A04-00,A06-01
27,23808,M,19540707,프리랜서,기혼,A04-07,A06-02
28,21023,M,19541117,구직자,기혼,A04-02,A06-02
29,18527,F,19550115,근로자,미혼,A04-03,A06-01
30,25494,M,19550209,근로자,기혼,A04-03,A06-02
31,13114,M,19551015,프리랜서,,A04-07,A06-00
32,4960,M,19551213,False,,A04-00,A06-00
33,20056,M,19560129,기업인/소상공인,기혼,A04-05,A06-02
34,4945,F,19560616,기업인/소상공인,기혼,A04-05,A06-02
35,16919,M,19561012,기타,기혼,A04-00,A06-02
36,12726,M,19561220,False,기혼,A04-00,A06-02
37,10757,F,19570621,기타,기혼,A04-00,A06-02
38,15971,M,19570829,기업인/소상공인,기혼,A04-05,A06-02
39,12249,M,19580721,근로자,기혼,A04-03,A06-02
40,4978,M,19580912,구직자,기혼,A04-02,A06-02
41,16859,M,19581113,구직자,미혼,A04-02,A06-01
42,27487,F,19581221,프리랜서,미혼,A04-07,A06-01
43,15045,M,19590210,기업인/소상공인,기혼,A04-05,A06-02
44,16473,M,19590215,기타,기혼,A04-00,A06-02
45,5174,M,19590311,기업인/소상공인,기혼,A04-05,A06-02
46,17612,M,19590718,근로자,기혼,A04-03,A06-02
47,19523,F,19591008,기타,기혼,A04-00,A06-02
48,25303,M,19600104,"구직자,근로자,기업인/소상공인",기혼,A04-02,A06-02
49,14873,M,19600820,기업인/소상공인,기혼,A04-05,A06-02
50,20506,M,19600910,False,,A04-00,A06-00
51,13464,F,19600928,기업인/소상공인,미혼,A04-05,A06-01
52,24998,M,19601024,"근로자,기업인/소상공인",기혼,A04-03,A06-02
53,24571,M,19610326,근로자,기혼,A04-03,A06-02
54,22632,M,19610408,기업인/소상공인,기혼,A04-05,A06-02
55,7334,F,19610511,근로자,기혼,A04-03,A06-02
56,15112,M,19610522,구직자,기혼,A04-02,A06-02
57,22986,M,19611227,근로자,기혼,A04-03,A06-02
58,26088,M,19620117,기타,기혼,A04-00,A06-02
59,17398,M,19620305,구직자,기혼,A04-02,A06-02
60,23259,M,19620326,근로자,기혼,A04-03,A06-02
61,13695,F,19620406,기업인/소상공인,기혼,A04-05,A06-02
62,6710,F,19620417,근로자,기혼,A04-03,A06-02
63,26715,F,19620712,근로자,미혼,A04-03,A06-01
64,21560,F,19620805,기업인/소상공인,기혼,A04-05,A06-02
65,16753,M,19620926,기타,기혼,A04-00,A06-02
66,7817,F,19621010,"프리랜서,기타",기혼,A04-07,A06-02
67,23061,M,19621021,기업인/소상공인,기혼,A04-05,A06-02
68,4745,M,19621208,프리랜서,기혼,A04-07,A06-02
69,26366,F,19621226,기타,기혼,A04-00,A06-02
70,24976,M,19630111,구직자,기혼,A04-02,A06-02
71,19974,M,19630130,근로자,미혼,A04-03,A06-01
72,19584,M,19630418,근로자,기혼,A04-03,A06-02
73,12341,M,19630525,기업인/소상공인,기혼,A04-05,A06-02
74,16782,M,19630528,기업인/소상공인,기혼,A04-05,A06-02
75,28120,F,19630710,근로자,미혼,A04-03,A06-01
76,4790,M,19630712,구직자,기혼,A04-02,A06-02
77,22964,M,19640105,근로자,미혼,A04-03,A06-01
78,21312,M,19640113,근로자,기혼,A04-03,A06-02
79,17126,F,19640315,기타,,A04-00,A06-00
80,12525,F,19640422,구직자,기혼,A04-02,A06-02
81,15707,M,19640702,근로자,기혼,A04-03,A06-02
82,17184,M,19640920,기업인/소상공인,기혼,A04-05,A06-02
83,3502,F,19641005,False,,A04-00,A06-00
84,11752,M,19650130,근로자,기혼,A04-03,A06-02
85,20803,F,19650313,기업인/소상공인,기혼,A04-05,A06-02
86,16397,M,19650426,근로자,기혼,A04-03,A06-02
87,10661,F,19650510,기타,기혼,A04-00,A06-02
88,20496,F,19650606,근로자,기혼,A04-03,A06-02
89,19198,M,19650625,프리랜서,기혼,A04-07,A06-02
90,10655,F,19650927,기타,기혼,A04-00,A06-02
91,20553,M,19660330,기타,기혼,A04-00,A06-02
92,8449,F,19660501,근로자,미혼,A04-03,A06-01
93,25931,M,19660708,기타,미혼,A04-00,A06-01
94,4704,F,19660802,근로자,기혼,A04-03,A06-02
95,13983,M,19661006,False,기혼,A04-00,A06-02
96,24407,M,19661025,기타,,A04-00,A06-00
97,27137,F,19661222,기타,기혼,A04-00,A06-02
98,4993,M,19670228,기업인/소상공인,기혼,A04-05,A06-02
99,11398,M,19670228,False,,A04-00,A06-00
100,4969,F,19670308,기업인/소상공인,기혼,A04-05,A06-02
101,21816,M,19670411,근로자,미혼,A04-03,A06-01
102,16902,F,19670607,False,,A04-00,A06-00
103,12234,F,19670708,근로자,기혼,A04-03,A06-02
104,17709,M,19670723,근로자,기혼,A04-03,A06-02
105,21093,M,19670801,기업인/소상공인,미혼,A04-05,A06-01
106,22899,M,19670830,기업인/소상공인,기혼,A04-05,A06-02
107,28305,M,19671018,구직자,,A04-02,A06-00
108,23810,M,19680104,근로자,미혼,A04-03,A06-01
109,11394,M,19680310,근로자,기혼,A04-03,A06-02
110,16511,M,19680313,"근로자,기타",미혼,A04-03,A06-01
111,23866,M,19680515,기타,기혼,A04-00,A06-02
112,16618,M,19680517,기업인/소상공인,미혼,A04-05,A06-01
113,9782,F,19680609,프리랜서,미혼,A04-07,A06-01
114,15734,F,19680621,구직자,기혼,A04-02,A06-02
115,5404,F,19680628,근로자,미혼,A04-03,A06-01
116,4949,M,19680712,근로자,기혼,A04-03,A06-02
117,21225,M,19680716,근로자,기혼,A04-03,A06-02
118,20747,F,19680718,기타,기혼,A04-00,A06-02
